角色,根角色描述,PT-派生角色,PT- 派生描述
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT51114_01,大庆油田_大庆油田有限责任公司财务国际业务通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT51111_01,大庆油田_大庆油田有限责任公司财务部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT51113_01,大庆油田_大庆油田有限责任公司财务部科研开发通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111C_01,大庆油田_大庆油田采气分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111D_01,大庆油田_大庆油田采油工艺研究院通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111F_01,大庆油田_大庆油田测试技术分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111G_01,大庆油田_大庆油田储运销售分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5112D_01,大庆油田_大庆油田档案馆通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111J_01,大庆油田_大庆油田大兴安岭分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5118A_01,大庆油田_大庆油田第八采油厂通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5112A_01,大庆油田_大庆油田第二采油厂通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5116L_01,大庆油田_大庆油田第二采油厂南充分公司通用工厂_货物移动_操作
